threshold,precision,recall
0.2736842105263158,0.2712358172339773,0.21994280741017033
0.2777777777777778,0.26813050873666305,0.2155911973144349
0.2857142857142857,0.28653878798166693,0.20987193833146836
0.2901960784313726,0.28471630601465325,0.20775829914211116
0.2929292929292929,0.2819717338848673,0.20340668904637574
0.3,0.2818386037670641,0.20278503046127067
0.3063583815028902,0.2924786013476598,0.19967673753574536
0.3081761006289308,0.28513162773451983,0.19122218077831654
0.313953488372093,0.2829763246899662,0.18724356583364415
0.3159722222222222,0.2800378429517502,0.18401094119109784
0.3273809523809524,0.2960594181968228,0.1784160139251523
0.3288409703504043,0.29251984956122024,0.17406440382941687
0.3333333333333333,0.30363036303630364,0.17157776948899664
0.33580717215501515,0.3243372342966324,0.16884247171453437
0.3391003460207612,0.31420765027322406,0.15727962203158025
0.34675321620097854,0.308119011598588,0.15193335819967674
0.34782608695652173,0.3077311773623042,0.1514360313315927
0.36363636363636365,0.30501144746883746,0.14907372870819346
0.3767123287671233,0.335042735042735,0.1462140992167102
0.38181818181818183,0.33562035448827904,0.14596543578266816
0.3841257945709486,0.3512136649685346,0.14571677234862612
0.38461538461538464,0.35142428785607194,0.14571677234862612
0.3888888888888889,0.35075075075075074,0.14521944548054208
0.3951367781155015,0.34960819770946355,0.144224791744374
0.4024124456462249,0.3479594967781528,0.1409921671018277
0.416,0.34844279987665744,0.14049484023374362
0.42376778050722114,0.33471734270201214,0.13029963943802064
0.4396551724137931,0.3703836500537827,0.12843466368270545
0.44680851063829785,0.36523009495982467,0.12433171702101206
0.45454545454545453,0.3598217601188266,0.12047743379336069
0.47368421052631576,0.3585046728971963,0.11923411662315056
0.47863247863247865,0.35917602996254683,0.11923411662315056
0.4853378845815921,0.3712121212121212,0.11575282854656223
0.4884802035531715,0.3677736777367774,0.11152555016784782
0.4936927992052668,0.36083333333333334,0.10767126694019645
0.4968582753003211,0.36086775135586147,0.10754693522317543
0.5000368699136712,0.36140499365213713,0.1061792863359443
0.5229007633587787,0.3662516101331043,0.10605495461892328
0.5384615384615384,0.4126746506986028,0.10282232997637697
0.5408581788385071,0.43610223642172524,0.10182767624020887
0.56,0.471563981042654,0.0989680467487256
0.5662650602409639,0.46805970149253734,0.09747606614447346
0.5795561819072258,0.46843054720384847,0.09685440755936839
0.5868919054871721,0.4688821752265861,0.09648141240830536
0.5910931174089069,0.4703363914373089,0.09561109038915827
0.5988820983523246,0.4383007417397168,0.08081561606365784
0.6091399461559268,0.46943396226415096,0.0773343279870695
0.6135480130276958,0.48853754940711464,0.07683700111898545
0.6201550387596898,0.4856,0.07546935223175431
0.6307209166958216,0.5671039354187689,0.06987442496580878
0.6551724137931034,0.6358173076923077,0.06577147830411538
0.6666666666666666,0.6390243902439025,0.06514981971901032
0.6814814814814815,0.6580976863753213,0.06365783911475817
0.6898670656864727,0.692090395480226,0.060922541340295906
0.7142857142857143,0.5324384787472036,0.02959094865100087
0.7333333333333333,0.5495978552278821,0.025488001989307472
0.7368421052631579,0.6366906474820144,0.022006713912719134
0.7647058823529411,0.6245353159851301,0.020887728459530026
0.7671390895029282,0.631578947368421,0.020887728459530026
0.7838627267289764,0.7121212121212122,0.0175307720999627
0.8333333333333334,0.8222222222222222,0.013800820589332338
0.8571428571428571,0.8384615384615385,0.013552157155290314
0.9090909090909091,0.8,0.006465249285092627
0.9565217391304348,0.7966101694915254,0.005843590699987567
0.999999,0.8947368421052632,0.00422727837871441
