segment_id,date,target,label_tier,label_confidence,hazard,label_source,event_id,persist_day,snap_dist_m,seg_lon,seg_lat,p_cal,rain_3d_mm,api_mm,slope_mean_deg,spatial_fold
SEG292349,2021-07-23,0,negative,0.7,none,hard_negative_matched,,0,,88.13833255694045,26.913073392651665,0.453125,48.10231349999958,152.3475875354209,16.642549514770508,3
SEG247783,2009-09-01,0,negative,0.7,none,hard_negative_matched,,0,,88.52628583581705,26.92628033663996,0.453125,92.0589600000003,273.987924941191,17.216053009033203,2
SEG307025,2020-10-06,0,negative,0.7,none,hard_negative_matched,,0,,87.87121042632143,27.26795899052288,0.453125,21.830591000001732,101.42724482953699,16.840330123901367,1
SEG282176,2016-09-17,0,negative,0.7,none,hard_negative_matched,,0,,87.9376636964794,26.9265330632343,0.453125,103.35236554999938,177.50790325648103,18.1377010345459,3
SEG283947,2025-10-06,0,negative,0.7,none,hard_negative_matched,,0,,87.97736855576863,27.167967266309958,0.453125,107.03115699999762,169.64031777530576,28.45037078857422,3
SEG283471,2017-09-01,0,negative,0.7,none,hard_negative_matched,,0,,87.932056523036,26.996205358823943,0.453125,76.11971919999996,253.44707589456823,14.043013572692873,3
SEG282212,2019-07-28,0,negative,0.7,none,hard_negative_matched,,0,,87.92709009614246,26.94175293408029,0.453125,55.27946499999962,401.8062602062613,22.30113410949707,3
SEG283470,2017-07-08,0,negative,0.7,none,hard_negative_matched,,0,,87.93225656960408,26.996141653368547,0.453125,12.43884109999999,100.92582409522328,14.07613468170166,3
SEG282176,2016-09-22,0,negative,0.7,none,hard_negative_matched,,0,,87.9376636964794,26.9265330632343,0.453125,87.29111100000227,218.826779248931,18.1377010345459,3
SEG292448,2017-09-01,0,negative,0.7,none,hard_negative_matched,,0,,88.11099730081966,26.925533664593452,0.453125,99.72990349999964,322.88378640845065,22.53162956237793,3
SEG283712,2010-06-22,0,negative,0.7,none,hard_negative_matched,,0,,87.92731523173607,27.008217561933733,0.453125,14.99795819999963,130.8378829452962,11.823291778564451,3
SEG282471,2022-08-27,0,negative,0.7,none,hard_negative_matched,,0,,87.93914622173217,27.013911838742747,0.453125,3.5381873000005726,169.77828798477586,18.26187515258789,3
SEG292364,2013-08-22,0,negative,0.7,none,hard_negative_matched,,0,,88.14305848522129,26.917246608078823,0.453125,46.66423400000349,234.0613745464515,14.97274112701416,3
SEG292524,2019-08-26,0,negative,0.7,none,hard_negative_matched,,0,,88.1213964554867,26.938680090812895,0.453125,55.81558999999834,126.86423477440604,18.12422561645508,3
SEG292489,2018-07-04,0,negative,0.7,none,hard_negative_matched,,0,,88.12019142734178,26.928331844972167,0.453125,47.86596699999791,148.21576898964804,17.88069725036621,3
SEG225264,2009-07-07,0,negative,0.7,none,hard_negative_matched,,0,,89.9416434002531,26.928209915583967,0.453125,95.20745999999963,287.62619802753744,11.250007629394531,2
SEG225262,2009-08-23,0,negative,0.7,none,hard_negative_matched,,0,,89.99997729521687,26.928274966586216,0.453125,78.37264660000073,435.88501984792305,15.178855895996094,2
SEG250037,2012-08-11,0,negative,0.7,none,hard_negative_matched,,0,,88.64262475000776,27.103193500003425,0.453125,84.17734000000019,177.62060999459058,26.921205520629883,1
SEG289207,2008-07-17,0,negative,0.7,none,hard_negative_matched,,0,,88.094532911554,26.911375851857386,0.453125,69.92144390000067,220.98288498595568,15.987873077392578,3
SEG282468,2010-08-19,0,negative,0.7,none,hard_negative_matched,,0,,87.93339411326026,27.010006535361995,0.453125,96.11861499999941,178.16211351106165,13.332612991333008,3
SEG292498,2024-09-05,0,negative,0.7,none,hard_negative_matched,,0,,88.12010138064902,26.929372448648277,0.453125,56.050326000004134,162.2192117607808,19.66069984436035,3
SEG292366,2016-09-27,0,negative,0.7,none,hard_negative_matched,,0,,88.14618374744244,26.917409088249162,0.453125,84.02613800000108,237.94265468694044,24.571794509887695,3
SEG283601,2011-08-18,0,negative,0.7,none,hard_negative_matched,,0,,87.95571877398726,27.001817079735414,0.453125,42.427245999999286,179.55314688147527,20.30843162536621,3
SEG282204,2010-07-24,0,negative,0.7,none,hard_negative_matched,,0,,87.9458702824101,26.931365978270104,0.453125,29.321585600000617,199.11059779939822,20.622140884399418,3
SEG292358,2016-07-19,0,negative,0.7,none,hard_negative_matched,,0,,88.14225423065751,26.914921161214284,0.453125,121.52857800000129,258.0673565111641,19.909704208374023,3
SEG281693,2019-08-03,0,negative,0.7,none,hard_negative_matched,,0,,87.98884728124716,26.85674739912405,0.453125,0.570949600001768,250.31224991269036,13.46636199951172,3
SEG292355,2014-06-04,0,negative,0.7,none,hard_negative_matched,,0,,88.13952718840804,26.914283551552494,0.453125,19.79789339999843,114.49037150490201,17.277591705322266,3
SEG283751,2009-08-24,0,negative,0.7,none,hard_negative_matched,,0,,87.94355715319627,27.018615998490805,0.453125,31.109050500001104,239.795575544487,21.55980110168457,3
SEG304109,2016-10-10,0,negative,0.7,none,hard_negative_matched,,0,,87.30532553183313,27.22781989319529,0.453125,3.603494999999384,80.39115083555117,20.20635032653809,1
SEG292703,2009-08-27,0,negative,0.7,none,hard_negative_matched,,0,,88.00301779604249,26.991012741834925,0.453125,35.40953840000111,301.5806578885432,11.508827209472656,3
SEG282549,2016-09-25,0,negative,0.7,none,hard_negative_matched,,0,,87.53885198167298,26.83449620664672,0.453125,28.6404360000015,179.8482830001292,23.633441925048828,3
