event_id,best_rank,n_segments,n_rows,scored_that_day,date,tier,source,hazard,max_score,mean_conf,min_snap_m
GLC-3714,7.0,20,60,52,2011-07-03,silver,coolr_glc,landslide,0.23100450740502254,0.8240700000000001,2.5
GLC-9164,7.0,3,9,37,2016-07-24,silver,coolr_glc,landslide,0.14285714285714282,0.5898666666666667,295.4
GLC-2328,7.0,20,60,119,2010-08-24,bronze,coolr_glc,landslide,0.2970760233918128,0.46127333333333337,771.8
GLC-2326,7.0,20,60,119,2010-08-24,silver,coolr_glc,landslide,0.27438393042037695,0.8065266666666666,106.9
GLC-9976,8.0,20,60,72,2017-07-05,silver,coolr_glc,landslide,0.2405271828665569,0.7031949999999999,610.5
CLS-REL-00330,9.0,20,60,55,2019-07-14,bronze,corridor_landslides,landslide+flood,0.16903225806451613,0.36879666666666666,1916.6
GLC-11181,9.0,20,60,72,2017-07-08,silver,coolr_glc,landslide,0.23100450740502254,0.662255,594.0
GLC-7139,9.0,20,60,77,2015-07-07,silver,coolr_glc,landslide,0.3294117647058824,0.817495,283.4
GLC-9620,15.0,20,60,89,2016-10-15,silver,coolr_glc,landslide,0.3382352941176471,0.85323,105.6
GLC-1104,15.0,20,60,148,2009-08-19,bronze,coolr_glc,landslide,0.2405271828665569,0.44546833333333336,97.8
GLC-241,18.0,20,60,102,2007-09-07,bronze,coolr_glc,landslide,0.27438393042037695,0.44745833333333335,278.8
GLC-1111,18.0,20,60,148,2009-08-20,silver,coolr_glc,landslide,0.3382352941176471,0.7594583333333333,809.2
GLC-239,19.0,20,60,102,2007-09-07,bronze,coolr_glc,landslide,0.2405271828665569,0.44507,216.9
GLC-5471,20.0,20,60,109,2013-09-06,bronze,coolr_glc,landslide,0.21483375959079284,0.42036166666666663,513.9
GLC-9619,22.0,20,60,89,2016-10-15,silver,coolr_glc,landslide,0.2970760233918128,0.8492866666666666,93.3
GLC-11184,23.0,20,60,75,2016-09-21,bronze,coolr_glc,landslide,0.20632911392405062,0.44881166666666666,167.0
GLC-9604,23.0,20,60,87,2016-10-12,bronze,coolr_glc,landslide,0.3382352941176471,0.4481866666666666,807.8
GLC-1993,26.0,20,60,71,2010-06-16,bronze,coolr_glc,landslide,0.1685490877497828,0.38128,208.2
GLC-1107,27.0,20,60,148,2009-08-20,bronze,coolr_glc,landslide,0.3247422680412371,0.47949,142.5
GLC-9605,27.0,20,60,89,2016-10-13,bronze,coolr_glc,landslide,0.2970760233918128,0.47990499999999997,351.3
GLC-152,31.0,20,60,70,2007-08-02,bronze,coolr_glc,landslide,0.09476309226932668,0.20552833333333334,85.0
GLC-7044,38.0,20,60,163,2015-07-01,bronze,coolr_glc,landslide,0.3382352941176471,0.4793783333333333,489.8
GLC-1089,64.0,20,60,123,2009-08-16,bronze,coolr_glc,landslide,0.23100450740502254,0.454225,96.1
GLC-7039,73.0,7,21,163,2015-07-01,silver,coolr_glc,landslide,0.27438393042037695,0.5112857142857143,225.5
